Part_No,Description,Category,Vendor_No,Available,On_Hand,Current_Cost,Volume_(inch^3),Length_(UDF),Width_(UDF),Height_(UDF),Weight_(UDF),Product_Code,Pallet_Quantity_(Incoming_Max)_(UDF),Pallet_Length_(inches)_(UDF),Pallet_Width_(inches)_(UDF)
FCVTeTem14WP,Tempered Glass 14X14 GLASS PLANNER BOARD WHITE,Tempered Glass Whiteboard,MANU123,6,6,17.4334,629,18.7,18.7,1.8,5,PRES,100,62,50
FCVTeTem23BG,Tempered Glass 17X23 GLASS DOT GRID BOARD BLACK,Tempered Glass Whiteboard,MANU123,4,4,33.3124,1204,28,21.5,2,10,PRES,50,62,50
FCVTeTem23TP,Tempered Glass 17X23 GLASS PLANNER BOARD TEAL,Tempered Glass Whiteboard,MANU123,4,4,33.59827,1204,28,21.5,2,10,PRES,50,62,50
FCVTeTem23VP,Tempered Glass 17X23 GLASS PLANNER BOARD VIOLET,Tempered Glass Whiteboard,MANU123,10,10,30.5654,1204,28,21.5,2,10,PRES,50,62,50
FCVTeTem23WG,Tempered Glass 17X23 GLASS DOT GRID BOARD WHITE,Tempered Glass Whiteboard,MANU123,1,1,34.17,1204,28,21.5,2,10,PRES,50,62,50
FCVTeTem23WP,Tempered Glass 17X23 GLASS PLANNER BOARD WHITE,Tempered Glass Whiteboard,MANU123,38,38,30.5654,1204,28,21.5,2,10,PRES,50,62,50
FCVLaSte624A,Lacq.Steel Whiteboard 24x36,Steel Whiteboard,MANU123,231,235,30.13325,1440,40,24,1.5,7,PRES,100,62,50
FCVLaSte836A,Lacq.Steel Whiteboard 36x48,Steel Whiteboard,MANU123,144,147,50.43745,1908,53,36,1,12.8,PRES,50,62,50
FCVLaSte148A,Lacq.Steel Whiteboard 48x71,Steel Whiteboard,MANU123,35,35,90.3203,3750,77,48,1,26.5,PRES,50,62,50
FCVPoPor624A,Porcelain Whiteboard 24'x36',Porcelain Whiteboard,MANU123,110,110,53.69137,960,40,24,1,8,PRES,100,62,50
FCVPoPor836A,Porcelain Whiteboard 36'x48',Porcelain Whiteboard,MANU123,8,12,96.9758,1908,53,36,1,16,PRES,50,62,50
FCVPoPor148A,Porcelain Whiteboard 48'x71',Porcelain Whiteboard,MANU123,2,2,177.081,3750,77,48,1,31,PRES,50,62,50
FDCAdvEnt36CH,Advantage Wiper Mat 24x36 Charcoal,Entrance Mat,MANU123,3,3,15.5574,592,37,4,4,3,MATS,100,62,50
FDCAdvEnt60CH,Advantage Wiper Mat 36x60 Charcoal,Entrance Mat,MANU123,3,3,29.5068,592,37,4,4,8,MATS,75,62,50
FDCAdvEnt72CH,Advantage Wipe Mat 48x72 Charcoal,Entrance Mat,MANU123,4,4,42.76729,3136,49,8,8,12,MATS,50,62,50
FOCOcAnt432B,Octomat Scraper 24x32 BLK,Anti-Fatigue Mat,MANU123,0,0,14.8336,2368,37,8,8,9.8,MATS,100,62,50
FOCOcAnt248B,Octomat Scraper 32x48 BLK,Anti-Fatigue Mat,MANU123,0,0,21.5874,4000,40,10,10,19,MATS,100,62,50
FPD17Des722P,17'x22'Deskpad 100% Recycled,Desk Pad,MANU123,0,0,6.1238,35,22,17,0.03,0.75,DESK,1200,62,50
FPDAntDes22RA,Anti-slip Polycarbonate Desk Pad 17' x 22',Desk Pad,MANU123,0,29,6.2176,11.5,22,17,0.03,0.75,DESK,1200,62,50
FPDBlDes24BV," Black Phthalate-Free PVC Desk Pad 19""x24""",Desk Pad,MANU123,78,107,4.8642,238.875,24.5,19.5,0.5,0.5,DESK,1200,62,50
FPDCrDes24CV," Crystal Clear Phthalate-Free PVC Desk Pad 19""x24""",Desk Pad,MANU123,-4,0,4.5639,38,24,19,0.03,0.85,DESK,1200,62,50
FPD19Des924P,19'x24' Desk pad 100% Recycled,Desk Pad,MANU123,-247,-11,4.69,38,24,19,0.03,0.85,DESK,1200,62,50
FPDAntDes24RA,Anti-slip Polycarbonate Desk Pad 19' x 24',Desk Pad,MANU123,109,109,7.13207,38,24,19,0.03,0.85,DESK,1200,62,50
FPDBlDes36BV," Black Phthalate-Free PVC Desk Pad 20""x36""",Desk Pad,MANU123,0,0,4.7117,22,36,20,0.03,1.3,DESK,1000,62,50
FPDCrDes36CV," Crystal Clear Phthalate-Free PVC Desk Pad 20""x36""",Desk Pad,MANU123,0,0,4.11075,22,36,20,0.03,1.3,DESK,1000,62,50
FPD20Des036P,20'x36'Deskpad 100% Recycled,Desk Pad,MANU123,0,0,8.911,22,36,20,0.03,1.3,DESK,1000,62,50
FPDAnDes84RA,Anti-Static Vinyl Desk Pads 12x18,Desk Pad,MANU123,75,75,4.1674,6.5,18,12,0.03,0.45,DESK,2400,62,50
FPDAnDes924V,Anti-Static Vinyl Desk Pads 19x24,Desk Pad,MANU123,39,42,5.3734,14,24,19,0.03,0.75,DESK,1200,62,50
FPDAnDes71RA,Anti-Slip Desk Pad Cover 35x71,Desk Pad,MANU123,5,5,43.9654,2432,38,8,8,6,DESK,56,62,50
FPRPreEnt36CH,Prestige Wiper/Scraper 24x36 Charcl,Entrance Mat,MANU123,0,0,19.5774,1813,37,7,7,7,MATS,50,62,50
FPRPreEnt60CH,Prestige Wiper/Scaper 36x60 Charcl,Entrance Mat,MANU123,0,0,39.8114,1813,37,7,7,17,MATS,35,62,50
